time	V(dw2)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.974612e-008
1.999999887924986e-010	4.215413e-008
3.536601736371489e-008	5.081578e-006
7.053203473863727e-008	8.961395e-006
1.056980521135597e-007	1.168161e-005
1.408640694884820e-007	1.324221e-005
1.760300868634044e-007	1.364321e-005
2.111961042383268e-007	1.288460e-005
2.463621216132491e-007	1.096639e-005
3.330288576261055e-007	1.088101e-005
5.063623296518183e-007	1.104866e-005
6.865101152388822e-007	1.112897e-005
8.084585670387079e-007	1.124683e-005
1.000000000000000e-006	1.150129e-005
1.057462429888388e-006	1.160497e-005
1.429979841528504e-006	1.273173e-005
2.934627147618592e-006	2.438252e-005
4.439274453708681e-006	4.519106e-005
5.943921759798770e-006	7.515734e-005
7.448569065888858e-006	1.142814e-004
8.953216371978945e-006	1.625632e-004
1.045786367806904e-005	2.200027e-004
1.196251098415912e-005	2.866000e-004
1.420538068034097e-005	4.108378e-004
1.869112007270468e-005	7.004902e-004
2.137105987403695e-005	9.103513e-004
2.319913970608622e-005	1.076217e-003
2.641533769035608e-005	1.397482e-003
3.064323959685398e-005	1.862973e-003
3.450267717797782e-005	2.366008e-003
4.070681606990427e-005	3.260531e-003
4.494771248932989e-005	3.969369e-003
5.056545285592342e-005	4.976937e-003
5.395816999146391e-005	5.651935e-003
6.090472456947747e-005	7.128643e-003
7.000000000000001e-005	9.298713e-003
7.889668770405638e-005	1.169794e-002
8.779337540811275e-005	1.428389e-002
9.669006311216913e-005	1.705657e-002
1.055867508162255e-004	2.001597e-002
1.144834385202819e-004	2.316208e-002
1.233801262243383e-004	2.649493e-002
1.322768139283946e-004	3.001449e-002
1.442808266900961e-004	3.501613e-002
1.562848394517977e-004	4.015036e-002
1.682888522134992e-004	4.541716e-002
1.802928649752007e-004	5.081654e-002
1.922968777369023e-004	5.634850e-002
2.043008904986038e-004	6.201304e-002
2.163049032603053e-004	6.781016e-002
2.243803968909399e-004	7.168895e-002
2.324558905215746e-004	7.554403e-002
2.405313841522092e-004	7.937540e-002
2.486068777828438e-004	8.318305e-002
2.566823714134784e-004	8.696699e-002
2.647578650441131e-004	9.072722e-002
2.728333586747477e-004	9.446374e-002
2.819903523564564e-004	9.863790e-002
2.911473460381651e-004	1.027029e-001
3.003043397198738e-004	1.066587e-001
3.094613334015825e-004	1.105054e-001
3.186183270832912e-004	1.142429e-001
3.277753207649999e-004	1.178712e-001
3.369323144467086e-004	1.213904e-001
3.508676980971788e-004	1.264943e-001
3.648030817476490e-004	1.311667e-001
3.787384653981192e-004	1.354073e-001
3.926738490485895e-004	1.392163e-001
4.066092326990597e-004	1.425936e-001
4.205446163495300e-004	1.455392e-001
4.344800000000002e-004	1.480532e-001
4.446400000071917e-004	1.495433e-001
4.548000000143832e-004	1.507488e-001
4.649600000215747e-004	1.516696e-001
4.751200000287662e-004	1.523056e-001
4.852800000359577e-004	1.526570e-001
4.954400000431493e-004	1.527237e-001
5.056000000503407e-004	1.525057e-001
5.106285720634809e-004	1.522906e-001
5.156571440766209e-004	1.520033e-001
5.206857160897610e-004	1.516436e-001
5.257142881029011e-004	1.512116e-001
5.307428601160412e-004	1.507073e-001
5.357714321291812e-004	1.501307e-001
