time	V(dw2)
0.000000000000000e+000	0.000000e+000
9.999999439624929e-011	1.969999e-008
1.999999887924986e-010	4.206187e-008
7.577050326227409e-008	5.802653e-006
1.513410065357557e-007	1.016525e-005
2.269115098092373e-007	1.312985e-005
3.024820130827188e-007	1.469646e-005
3.780525163562004e-007	1.486508e-005
4.536230196296820e-007	1.363570e-005
5.291935229031635e-007	1.100832e-005
9.447275961065102e-006	8.645259e-006
1.836535839922704e-005	1.238569e-005
2.728344083738898e-005	2.222963e-005
3.620152327555092e-005	3.817706e-005
4.511960571371286e-005	6.022799e-005
5.403768815187479e-005	8.838241e-005
6.295577059003672e-005	1.226403e-004
7.280780336288863e-005	1.749464e-004
8.265983613574054e-005	2.470812e-004
9.251186890859247e-005	3.390448e-004
1.023639016814444e-004	4.508372e-004
1.122159344542963e-004	5.824585e-004
1.220679672271482e-004	7.339085e-004
1.319200000000001e-004	9.051874e-004
1.446171428349435e-004	1.163400e-003
1.573142856698870e-004	1.467395e-003
1.700114285048305e-004	1.817174e-003
1.827085713397740e-004	2.212735e-003
1.954057141747174e-004	2.654079e-003
2.081028570096609e-004	3.141205e-003
2.207999998446043e-004	3.674115e-003
2.379161605615721e-004	4.478813e-003
2.550323212785398e-004	5.364339e-003
2.721484819955076e-004	6.330693e-003
2.892646427124753e-004	7.377876e-003
3.063808034294431e-004	8.505887e-003
3.234969641464109e-004	9.714726e-003
3.406131248633786e-004	1.100439e-002
3.607998213108713e-004	1.263131e-002
3.809865177583640e-004	1.430969e-002
4.011732142058567e-004	1.603954e-002
4.213599106533494e-004	1.782085e-002
4.415466071008421e-004	1.965363e-002
4.617333035483348e-004	2.153787e-002
4.819199999958274e-004	2.347358e-002
5.002171428535664e-004	2.522989e-002
5.185142857113054e-004	2.695040e-002
5.368114285690443e-004	2.863509e-002
5.551085714267833e-004	3.028397e-002
5.734057142845222e-004	3.189704e-002
5.917028571422612e-004	3.347430e-002
6.100000000000001e-004	3.501574e-002
6.329714285709669e-004	3.685285e-002
6.559428571419338e-004	3.851165e-002
6.789142857129006e-004	3.999214e-002
7.018857142838674e-004	4.129433e-002
7.248571428548343e-004	4.241821e-002
7.478285714258011e-004	4.336378e-002
7.707999999967679e-004	4.413105e-002
7.928610582267613e-004	4.462856e-002
8.149221164567547e-004	4.489895e-002
8.369831746867479e-004	4.494220e-002
8.590442329167413e-004	4.475832e-002
8.811052911467347e-004	4.434731e-002
9.031663493767281e-004	4.370917e-002
9.252274076067214e-004	4.284390e-002
9.451206350914752e-004	4.185020e-002
9.650138625762290e-004	4.068611e-002
9.849070900609827e-004	3.935160e-002
1.004800317545737e-003	3.784669e-002
1.024693545030490e-003	3.617138e-002
1.044586772515244e-003	3.432566e-002
1.064479999999998e-003	3.230954e-002
1.085592640432565e-003	2.999586e-002
1.106705280865132e-003	2.756297e-002
1.127817921297699e-003	2.501084e-002
1.148930561730266e-003	2.233950e-002
1.170043202162833e-003	1.954893e-002
1.191155842595400e-003	1.663913e-002
1.212268483027967e-003	1.361011e-002
1.250000000000000e-003	8.099395e-003
1.260000000000000e-003	6.609265e-003
1.270000000000000e-003	5.116006e-003
1.280000000000000e-003	3.619619e-003
1.290000000000000e-003	2.120103e-003
1.300000000000000e-003	6.174591e-004
1.310000000000000e-003	-8.883135e-004
1.320000000000000e-003	-2.397215e-003
1.337565076970429e-003	-5.053858e-003
1.355130153940857e-003	-7.671479e-003
1.372695230911286e-003	-1.025008e-002
1.390260307881714e-003	-1.278965e-002
1.407825384852143e-003	-1.529020e-002
1.425390461822571e-003	-1.775173e-002
1.442955538793000e-003	-2.017424e-002
1.467459035903237e-003	-2.345050e-002
1.491962533013475e-003	-2.653514e-002
1.516466030123713e-003	-2.942816e-002
1.540969527233951e-003	-3.212955e-002
1.565473024344189e-003	-3.463933e-002
1.589976521454426e-003	-3.695748e-002
1.614480018564664e-003	-3.908401e-002
1.642525730198321e-003	-4.119678e-002
1.670571441831977e-003	-4.297869e-002
1.698617153465634e-003	-4.442973e-002
1.726662865099291e-003	-4.554991e-002
1.754708576732947e-003	-4.633922e-002
1.782754288366604e-003	-4.679766e-002
1.810800000000260e-003	-4.692523e-002
1.835528253269032e-003	-4.674318e-002
1.860256506537804e-003	-4.634434e-002
1.884984759806576e-003	-4.572870e-002
1.909713013075348e-003	-4.489627e-002
1.934441266344120e-003	-4.384704e-002
1.959169519612892e-003	-4.258102e-002
1.983897772881664e-003	-4.109820e-002
2.012552376755712e-003	-3.913511e-002
2.041206980629760e-003	-3.703570e-002
2.069861584503807e-003	-3.479998e-002
2.098516188377855e-003	-3.242793e-002
2.127170792251902e-003	-2.991957e-002
2.155825396125950e-003	-2.727489e-002
2.184479999999998e-003	-2.449389e-002
2.194639999861869e-003	-2.351879e-002
2.204799999723740e-003	-2.254312e-002
2.214959999585610e-003	-2.156686e-002
2.225119999447481e-003	-2.059003e-002
2.235279999309352e-003	-1.961262e-002
2.245439999171223e-003	-1.863463e-002
2.255599999033094e-003	-1.765606e-002
2.260000000000000e-003	-1.723447e-002
2.280090377897232e-003	-1.530182e-002
2.300180755794465e-003	-1.341350e-002
2.320271133691697e-003	-1.156951e-002
2.340361511588929e-003	-9.769836e-003
2.360451889486161e-003	-8.014489e-003
2.380542267383393e-003	-6.303466e-003
2.400632645280625e-003	-4.636767e-003
2.414039410240343e-003	-3.571295e-003
2.427446175200062e-003	-2.542225e-003
2.440852940159780e-003	-1.549556e-003
2.454259705119498e-003	-5.932891e-004
2.467666470079216e-003	3.265760e-004
2.481073235038934e-003	1.210039e-003
2.494479999998652e-003	2.057101e-003
2.510000000000000e-003	2.983366e-003
2.525852161131703e-003	3.872603e-003
2.541704322263406e-003	4.698799e-003
2.557556483395109e-003	5.461956e-003
2.573408644526812e-003	6.162073e-003
2.589260805658515e-003	6.799151e-003
2.605112966790218e-003	7.373188e-003
2.620965127921921e-003	7.884187e-003
2.645912966652089e-003	8.545847e-003
2.670860805382256e-003	9.052596e-003
2.695808644112424e-003	9.404436e-003
2.720756482842591e-003	9.601365e-003
2.745704321572759e-003	9.643383e-003
2.770652160302927e-003	9.530491e-003
2.795599999033094e-003	9.262688e-003
2.819885713456938e-003	8.859168e-003
2.844171427880782e-003	8.351296e-003
2.868457142304625e-003	7.739072e-003
2.892742856728469e-003	7.022496e-003
2.917028571152313e-003	6.201569e-003
2.941314285576157e-003	5.276290e-003
2.965600000000001e-003	4.246660e-003
2.983371428571429e-003	3.452953e-003
3.001142857142858e-003	2.633797e-003
3.018914285714286e-003	1.789191e-003
3.036685714285715e-003	9.191364e-004
3.054457142857143e-003	2.363200e-005
3.072228571428572e-003	-8.973217e-004
3.090000000000000e-003	-1.843725e-003
3.112068571428572e-003	-3.039846e-003
3.134137142857143e-003	-4.229436e-003
3.156205714285715e-003	-5.412492e-003
3.178274285714286e-003	-6.589016e-003
3.200342857142858e-003	-7.759008e-003
3.222411428571429e-003	-8.922467e-003
3.244480000000001e-003	-1.007939e-002
3.277487941914212e-003	-1.176306e-002
3.310495883828423e-003	-1.332728e-002
3.343503825742634e-003	-1.477206e-002
3.376511767656846e-003	-1.609740e-002
3.409519709571057e-003	-1.730329e-002
3.442527651485268e-003	-1.838974e-002
3.475535593399479e-003	-1.935675e-002
3.502229622073479e-003	-2.000345e-002
3.528923650747477e-003	-2.054660e-002
3.555617679421477e-003	-2.098621e-002
3.582311708095475e-003	-2.132228e-002
3.609005736769475e-003	-2.155480e-002
3.635699765443474e-003	-2.168378e-002
3.662393794117473e-003	-2.170922e-002
3.674371314473654e-003	-2.168849e-002
3.686348834829835e-003	-2.164908e-002
3.698326355186017e-003	-2.159100e-002
3.710303875542198e-003	-2.151425e-002
3.722281395898380e-003	-2.141882e-002
3.734258916254561e-003	-2.130472e-002
3.746236436610742e-003	-2.117194e-002
3.760000000000000e-003	-2.099976e-002
3.775826237299093e-003	-2.077088e-002
3.791652474598185e-003	-2.051702e-002
3.807478711897277e-003	-2.023817e-002
3.823304949196369e-003	-1.993433e-002
3.839131186495461e-003	-1.960550e-002
3.854957423794553e-003	-1.925168e-002
3.870783661093646e-003	-1.887288e-002
3.899881355878106e-003	-1.810746e-002
3.928979050662566e-003	-1.730416e-002
3.958076745447027e-003	-1.646297e-002
3.987174440231487e-003	-1.558390e-002
4.016272135015948e-003	-1.466695e-002
4.045369829800407e-003	-1.371211e-002
4.074467524584868e-003	-1.271939e-002
4.107486449644172e-003	-1.158489e-002
4.140505374703477e-003	-1.047896e-002
4.173524299762781e-003	-9.401593e-003
4.206543224822086e-003	-8.352786e-003
4.239562149881391e-003	-7.332540e-003
4.272581074940695e-003	-6.340857e-003
4.305600000000000e-003	-5.377735e-003
4.343371428571429e-003	-4.364197e-003
4.381142857142857e-003	-3.444417e-003
4.418914285714286e-003	-2.618395e-003
4.456685714285714e-003	-1.886131e-003
4.494457142857143e-003	-1.247626e-003
4.532228571428572e-003	-7.028787e-004
4.570000000000000e-003	-2.518898e-004
4.570916402209157e-003	-2.422938e-004
4.602305487607082e-003	4.554770e-005
4.633694573005006e-003	2.790176e-004
4.665083658402931e-003	4.581158e-004
4.696472743800854e-003	5.828424e-004
4.727861829198779e-003	6.531973e-004
4.759250914596704e-003	6.691806e-004
4.790639999994628e-003	6.307922e-004
4.812872067464317e-003	5.820819e-004
4.835104134934007e-003	5.204048e-004
4.857336202403697e-003	4.457610e-004
4.879568269873386e-003	3.581504e-004
4.901800337343075e-003	2.575730e-004
4.924032404812765e-003	1.440289e-004
4.946264472282454e-003	1.751794e-005
4.953940976242103e-003	-2.621992e-005
4.961617480201753e-003	-7.043613e-005
4.969293984161402e-003	-1.151307e-004
4.976970488121052e-003	-1.603036e-004
4.984646992080701e-003	-2.059549e-004
4.992323496040351e-003	-2.520845e-004
5.000000000000000e-003	-2.986924e-004
5.010000000000001e-003	-3.598544e-004
5.020000000000000e-003	-4.208211e-004
5.030000000000001e-003	-4.815926e-004
5.040000000000000e-003	-5.421687e-004
5.050000000000001e-003	-6.025497e-004
5.060000000000000e-003	-6.627353e-004
5.070000000000001e-003	-7.227258e-004
5.094628605526828e-003	-8.705520e-004
5.119257211053655e-003	-1.007350e-003
5.143885816580482e-003	-1.133120e-003
5.168514422107309e-003	-1.247862e-003
5.193143027634136e-003	-1.351576e-003
5.217771633160963e-003	-1.444262e-003
5.242400238687790e-003	-1.525919e-003
5.266343061732392e-003	-1.587367e-003
5.290285884776994e-003	-1.630857e-003
5.314228707821595e-003	-1.656387e-003
5.338171530866197e-003	-1.663958e-003
5.362114353910798e-003	-1.653570e-003
5.386057176955400e-003	-1.625224e-003
5.410000000000001e-003	-1.578918e-003
5.430396394727200e-003	-1.522857e-003
5.450792789454400e-003	-1.453266e-003
5.471189184181599e-003	-1.370144e-003
5.491585578908798e-003	-1.273491e-003
5.511981973635997e-003	-1.163308e-003
5.532378368363197e-003	-1.039594e-003
5.552774763090396e-003	-9.023499e-004
5.576925844640361e-003	-7.220250e-004
5.601076926190327e-003	-5.270646e-004
5.625228007740291e-003	-3.174686e-004
5.649379089290256e-003	-9.323715e-005
5.673530170840221e-003	1.456299e-004
5.697681252390187e-003	3.991324e-004
5.721832333940151e-003	6.672705e-004
5.760142000520129e-003	1.122829e-003
5.798451667100108e-003	1.589353e-003
5.836761333680086e-003	2.066842e-003
5.875071000260065e-003	2.555296e-003
5.913380666840044e-003	3.054715e-003
