Freq.	Vdw1
1.00000000000000e-001	5.03613095125770e+000	1.79975463819457e+002
1.25892541179417e-001	5.03613102714760e+000	1.79969110777984e+002
1.58489319246111e-001	5.03613114742494e+000	1.79961112771813e+002
1.99526231496888e-001	5.03613133805151e+000	1.79951043876969e+002
2.51188643150958e-001	5.03613164017384e+000	1.79938367886125e+002
3.16227766016838e-001	5.03613211900441e+000	1.79922409752633e+002
3.98107170553497e-001	5.03613287789707e+000	1.79902319639890e+002
5.01187233627272e-001	5.03613408065424e+000	1.79877027660563e+002
6.30957344480193e-001	5.03613598687919e+000	1.79845186893457e+002
7.94328234724282e-001	5.03613900800020e+000	1.79805101639630e+002
1.00000000000000e+000	5.03614379604897e+000	1.79754637089464e+002
1.25892541179417e+000	5.03615138433021e+000	1.79691105574870e+002
1.58489319246111e+000	5.03616341028074e+000	1.79611123318655e+002
1.99526231496888e+000	5.03618246845811e+000	1.79510429991621e+002
2.51188643150958e+000	5.03621266943928e+000	1.79383661346824e+002
3.16227766016838e+000	5.03626052423271e+000	1.79224062580875e+002
3.98107170553498e+000	5.03633634250275e+000	1.79023126674871e+002
5.01187233627273e+000	5.03645643987868e+000	1.78770137492078e+002
6.30957344480194e+000	5.03664661437664e+000	1.78451591379766e+002
7.94328234724282e+000	5.03694760105979e+000	1.78050462643474e+002
1.00000000000000e+001	5.03742357861945e+000	1.77545266144855e+002
1.25892541179417e+001	5.03817530327387e+000	1.76908851902348e+002
1.58489319246112e+001	5.03936004897535e+000	1.76106837264258e+002
1.99526231496888e+001	5.04122100642596e+000	1.75095533118999e+002
2.51188643150958e+001	5.04412832282667e+000	1.73819134842462e+002
3.16227766016838e+001	5.04863012255417e+000	1.72205794282869e+002
3.98107170553498e+001	5.05549787547277e+000	1.70161906607388e+002
5.01187233627273e+001	5.06570813879475e+000	1.67563430143543e+002
6.30957344480194e+001	5.08018359220917e+000	1.64242145068960e+002
7.94328234724283e+001	5.09879361409204e+000	1.59963293828909e+002
1.00000000000000e+002	5.11726573861213e+000	1.54389391833110e+002
1.25892541179417e+002	5.11854005592927e+000	1.47026482957959e+002
1.58489319246112e+002	5.05057888469654e+000	1.37169880346699e+002
1.99526231496888e+002	4.77806095060935e+000	1.23962152316695e+002
2.51188643150958e+002	4.01851395387205e+000	1.06919460554469e+002
3.16227766016839e+002	2.39270606941352e+000	8.71962901732399e+001
3.98107170553498e+002	-2.55444087595795e-001	6.79631400617376e+001
5.01187233627273e+002	-3.66903195541977e+000	5.19680221310579e+001
6.30957344480194e+002	-7.47459017509933e+000	3.97737957425018e+001
7.94328234724283e+002	-1.14346875587163e+001	3.06922730171661e+001
1.00000000000000e+003	-1.54438243424580e+001	2.38852249552851e+001
1.25892541179417e+003	-1.94631986783598e+001	1.87093607444080e+001
1.58489319246112e+003	-2.34807376021555e+001	1.47202783444644e+001
1.99526231496888e+003	-2.74938367568692e+001	1.16134463994509e+001
2.51188643150959e+003	-3.15028132817403e+001	9.17519308722430e+000
3.16227766016839e+003	-3.55086158576794e+001	7.25091851000727e+000
3.98107170553498e+003	-3.95121062337643e+001	5.72557035666215e+000
5.01187233627273e+003	-4.35138830752574e+001	4.51156388872611e+000
6.30957344480195e+003	-4.75142686114319e+001	3.54105022031933e+000
7.94328234724283e+003	-5.15133219423063e+001	2.76074172075545e+000
1.00000000000000e+004	-5.55108297290954e+001	2.12828602073968e+000
1.25892541179417e+004	-5.95062519236048e+001	1.60961690588931e+000
1.58489319246112e+004	-6.34986032719813e+001	1.17694942961776e+000
1.99526231496889e+004	-6.74862432331014e+001	8.07218868056115e-001
2.51188643150959e+004	-7.14665312657910e+001	4.80839964756901e-001
3.16227766016839e+004	-7.54352814388727e+001	1.80713104652490e-001
3.98107170553498e+004	-7.93859202500648e+001	-1.08554808198074e-001
5.01187233627274e+004	-8.33082187730477e+001	-4.01202391166037e-001
6.30957344480195e+004	-8.71864516523976e+001	-7.10569380606522e-001
7.94328234724284e+004	-9.09968769869248e+001	-1.04891860564043e+000
1.00000000000000e+005	-9.47046332871461e+001	-1.42664498984187e+000
1.25892541179417e+005	-9.82606807770310e+001	-1.85079832779065e+000
1.58489319246112e+005	-1.01600423662778e+002	-2.32335144775000e+000
1.99526231496889e+005	-1.04646899264658e+002	-2.84076151049949e+000
2.51188643150959e+005	-1.07321616853875e+002	-3.39755398587361e+000
3.16227766016839e+005	-1.09563005575666e+002	-3.99580011446497e+000
3.98107170553499e+005	-1.11345701247574e+002	-4.65769340758857e+000
5.01187233627274e+005	-1.12689337779677e+002	-5.43384749808946e+000
6.30957344480196e+005	-1.13650623346774e+002	-6.40323353417970e+000
7.94328234724285e+005	-1.14304158687666e+002	-7.67024073827355e+000
1.00000000000000e+006	-1.14723515243300e+002	-9.36903127708357e+000
1.25892541179417e+006	-1.14970457840117e+002	-1.16823466126973e+001
1.58489319246112e+006	-1.15094317025755e+002	-1.48777551843868e+001
1.99526231496889e+006	-1.15142269606286e+002	-1.93582446582826e+001
2.51188643150959e+006	-1.15185009620288e+002	-2.56949984961000e+001
3.16227766016839e+006	-1.15362912515944e+002	-3.45082075244858e+001
3.98107170553499e+006	-1.15924197684664e+002	-4.59028561852931e+001
5.01187233627275e+006	-1.17135218390261e+002	-5.85369757352214e+001
6.30957344480196e+006	-1.19027069393024e+002	-6.98675296535348e+001
7.94328234724285e+006	-1.21340755977470e+002	-7.81679369972854e+001
1.00000000000000e+007	-1.23782679800725e+002	-8.34295207494194e+001
