Freq.	V(dw2)
1.00000000000000e-001	(-1.58810551412511e+002dB,1.79988104929213e+002°)
1.25892541179417e-001	(-1.54810551136176e+002dB,1.79985024992857e+002°)
1.58489319246111e-001	(-1.50810550698214e+002dB,1.79981147582459e+002°)
1.99526231496888e-001	(-1.46810550004092e+002dB,1.79976266211473e+002°)
2.51188643150958e-001	(-1.42810548903983e+002dB,1.79970120928489e+002°)
3.16227766016838e-001	(-1.38810547160427e+002dB,1.79962384473571e+002°)
3.98107170553497e-001	(-1.34810544397076e+002dB,1.79952644849872e+002°)
5.01187233627272e-001	(-1.30810540017460e+002dB,1.79940383382108e+002°)
6.30957344480193e-001	(-1.26810533076236e+002dB,1.79924947092811e+002°)
7.94328234724282e-001	(-1.22810522075133e+002dB,1.79905513924144e+002°)
1.00000000000000e+000	(-1.18810504639552e+002dB,1.79881048950813e+002°)
1.25892541179417e+000	(-1.14810477005999e+002dB,1.79850249247559e+002°)
1.58489319246111e+000	(-1.10810433209716e+002dB,1.79811474465796e+002°)
1.99526231496888e+000	(-1.06810363797159e+002dB,1.79762659403572e+002°)
2.51188643150958e+000	(-1.02810253785349e+002dB,1.79701203875382e+002°)
3.16227766016838e+000	(-9.88100794275747e+001dB,1.79623833942216e+002°)
3.98107170553498e+000	(-9.48098030870998e+001dB,1.79526426962556e+002°)
5.01187233627273e+000	(-9.08093651118769e+001dB,1.79403790849753e+002°)
6.30957344480194e+000	(-8.68086709551540e+001dB,1.79249385185828e+002°)
7.94328234724282e+000	(-8.28075707588045e+001dB,1.79054968152911e+002°)
1.00000000000000e+001	(-7.88058269845127e+001dB,1.78810148109418e+002°)
1.25892541179417e+001	(-7.48030630861063e+001dB,1.78501811193711e+002°)
1.58489319246112e+001	(-7.07986820940201e+001dB,1.78113384999609e+002°)
1.99526231496888e+001	(-6.67917374130285e+001dB,1.77623880140934e+002°)
2.51188643150958e+001	(-6.27807276305906e+001dB,1.77006620594646e+002°)
3.16227766016838e+001	(-5.87632702572828e+001dB,1.76227518555275e+002°)
3.98107170553498e+001	(-5.47355820037568e+001dB,1.75242646780840e+002°)
5.01187233627273e+001	(-5.06916484848064e+001dB,1.73994662542057e+002°)
6.30957344480194e+001	(-4.66218918686434e+001dB,1.72407238411467e+002°)
7.94328234724283e+001	(-4.25110185712968e+001dB,1.70375824526677e+002°)
1.00000000000000e+002	(-3.83345084703144e+001dB,1.67751258937476e+002°)
1.25892541179417e+002	(-3.40528124244703e+001dB,1.64308578778714e+002°)
1.58489319246112e+002	(-2.96016176521054e+001dB,1.59683068973520e+002°)
1.99526231496888e+002	(-2.48753999635588e+001dB,1.53227546136226e+002°)
2.51188643150958e+002	(-1.97008703992639e+001dB,1.43659736308970e+002°)
3.16227766016839e+002	(-1.38086971651456e+001dB,1.28079841378850e+002°)
3.98107170553498e+002	(-6.95045202596956e+000dB,9.89753278522582e+001°)
5.01187233627273e+002	(-4.53384981181258e-001dB,3.84767708719687e+001°)
6.30957344480194e+002	(-1.08017375078144e+000dB,-4.88302292034352e+001°)
7.94328234724283e+002	(-7.88735200487955e+000dB,-1.04061490137458e+002°)
1.00000000000000e+003	(-1.46247534210499e+001dB,-1.30669899670132e+002°)
1.25892541179417e+003	(-2.04056343853923e+001dB,-1.45201940596718e+002°)
1.58489319246112e+003	(-2.55090009775960e+001dB,-1.54262649374086e+002°)
1.99526231496888e+003	(-3.01915282771581e+001dB,-1.60440017049446e+002°)
2.51188643150959e+003	(-3.46158549824525e+001dB,-1.64899995793981e+002°)
3.16227766016839e+003	(-3.88808970064496e+001dB,-1.68240788595343e+002°)
3.98107170553498e+003	(-4.30469974032560e+001dB,-1.70804464864221e+002°)
5.01187233627273e+003	(-4.71512993171291e+001dB,-1.72804944866181e+002°)
6.30957344480195e+003	(-5.12168391303490e+001dB,-1.74386079265423e+002°)
7.94328234724283e+003	(-5.52579738017973e+001dB,-1.75650320593629e+002°)
1.00000000000000e+004	(-5.92836664167488e+001dB,-1.76674000779978e+002°)
1.25892541179417e+004	(-6.32994963634059e+001dB,-1.77516103024050e+002°)
1.58489319246112e+004	(-6.73088939856568e+001dB,-1.78223694810647e+002°)
1.99526231496889e+004	(-7.13138931933908e+001dB,-1.78835560842417e+002°)
2.51188643150959e+004	(-7.53155754070542e+001dB,-1.79384823245139e+002°)
3.16227766016839e+004	(-7.93143051071006e+001dB,-1.79900974852815e+002°)
3.98107170553498e+004	(-8.33098097557548e+001dB,1.79588428965214e+002°)
5.01187233627274e+004	(-8.73011224746840e+001dB,1.79056268494009e+002°)
6.30957344480195e+004	(-9.12863764686872e+001dB,1.78474450207981e+002°)
